"original_text","season","weather"
"A Debt was collected. Rogue Umpire incinerated Breath Mints hitter Boyfriend Monreal! Replaced by Pudge Nakatamo The Instability chains to the Garages's Tot Clark!",6,7
"A Debt was collected. Rogue Umpire incinerated Dale hitter Murray Pony! Replaced by Cannonball Sports The Instability chains to the Crabs's Pedro Davids!",6,7
"A Debt was collected. Rogue Umpire incinerated Millennials hitter Dominic Marijuana! Replaced by Charlatan Seabright The Instability chains to the Dale's Murray Pony!",6,7
"A Debt was collected. Rogue Umpire incinerated Moist Talkers hitter Antonio Wallace! Replaced by Beans McBlase The Instability chains to the Moist Talkers's Mooney Doctor!",6,7
"A Debt was collected. Rogue Umpire incinerated Moist Talkers hitter Elijah Bates! Replaced by Kiki Familia The Instability spreads to the Tigers's Yazmin Mason!",6,7
"A Debt was collected. Rogue Umpire incinerated Moist Talkers hitter Workman Gloom! Replaced by Commissioner Vapor The Instability chains to the Magic's Inky Rutledge!",6,7
"A Debt was collected. Rogue Umpire incinerated Steaks hitter Sebastian Telephone! Replaced by Gallup Crueller The Instability chains to the Tigers's Yazmin Mason!",6,7
"A Debt was collected. Rogue Umpire incinerated Tigers hitter Frasier Shmurmgle! Replaced by Usurper Violet The Instability chains to the Magic's Curry Aliciakeyes!",6,7
"A Debt was collected. Rogue Umpire incinerated Tigers hitter Mclaughlin Scorpler! Replaced by Frasier Shmurmgle The Instability spreads to the Moist Talkers's Antonio Wallace!",6,7
"A Debt was collected. Rogue Umpire incinerated Tigers hitter Moody Cookbook! Replaced by Carmelo Plums The Instability spreads to the Moist Talkers's Elijah Bates!",6,7
"A Debt was collected. Rogue Umpire incinerated Tigers pitcher Yazmin Mason! Replaced by Mummy Melcon The Instability chains to the Tigers's Frasier Shmurmgle!",6,7
"A Debt was collected. Rogue Umpire incinerated Wild Wings hitter Miguel Wheeler! Replaced by Case Sports The Instability chains to the Garages's Malik Destiny!",6,7
"Bright Zimmerman is Unstable! A Debt was collected. Rogue Umpire incinerated Bright Zimmerman! They're replaced by Scouse Bedazzle. The Instability chains to Scouse Bedazzle!",23,26
"Chorby Soul III is Unstable! A Debt was collected. Rogue Umpire incinerated Chorby Soul III! They're replaced by Zeruel Kramer. The Instability chains to Montgomery Bullock!",17,7
"Chorby Soul is Unstable! A Debt was collected. Rogue Umpire incinerated Chorby Soul! They're replaced by Mikan Hammer. The Instability chains to Alaynabella Hollywood!",15,7
"Chorby Soul is Unstable! A Debt was collected. Rogue Umpire incinerated Chorby Soul! They're replaced by Trinity Smaht. The Instability chains to Luis Acevedo!",16,7
"Gunther O'Brian is Unstable! A Debt was collected. Rogue Umpire incinerated Gunther O'Brian! They're replaced by Orion Ultrabass. The Instability chains to Kaz Fiasco!",22,7
"Helga Moreno is Unstable! A Debt was collected. Rogue Umpire incinerated Helga Moreno! They're replaced by Yulia Skitter. The Instability chains to Tot Fox!",22,7
"Helga Washington is Unstable! A Debt was collected. Rogue Umpire incinerated Helga Washington! They're replaced by Ryuji Ngozi. The Instability chains to Jon Halifax!",22,7
"Jon Halifax is Unstable! A Debt was collected. Rogue Umpire incinerated Jon Halifax! They're replaced by Khulan Sagaba. The Instability chains to -ilvia W-n-er!",22,7
"Lenny Marijuana is Unstable! A Debt was collected. Rogue Umpire incinerated Lenny Marijuana! They're replaced by Clarinet McCormick. The Instability chains to Montgomery Bullo-k!",23,26
"Luis Acevedo is Unstable! A Debt was collected. Rogue Umpire incinerated Luis Acevedo! They're replaced by Jon Halifax. The Instability chains to Parker Parra!",16,7
"Peanut Holloway is Unstable! A Debt was collected. Rogue Umpire incinerated Peanut Holloway! They're replaced by Will Statter Jr.. The Instability chains to Will Statter Jr.!",23,26
"Rogue Umpire incinerated Adalberto Tosser! They're replaced by Ruffian Scrobbles.",23,26
"Rogue Umpire incinerated Alejandro Leaf! They're replaced by Vernon Shotwell.",19,7
"Rogue Umpire incinerated Allison Abbott! They're replaced by Frankie Incarnate.",16,7
"Rogue Umpire incinerated Augusta Chadwell! They're replaced by Loubert Ji-Eun.",12,7
"Rogue Umpire incinerated Aurora Blortles! They're replaced by Scarlet Caster.",17,7
"Rogue Umpire incinerated Bauer Zimmerman! They're replaced by Lancelot Kane.",17,7
"Rogue Umpire incinerated Breath Mints hitter Eduardo Ingram! Replaced by Lenny Spruce",3,7
"Rogue Umpire incinerated Breath Mints hitter Whit Steakknife! Replaced by Stew Briggs",3,7
"Rogue Umpire incinerated Brock Forbes! They're replaced by Backpatch Rolsenthal.",21,7
"Rogue Umpire incinerated Carmelo Plums! They're replaced by Geepa Beanpot. An Ambush. Cedric Gonzalez enters the Tigers' shadows.",18,7
"Rogue Umpire incinerated Case Sports! They're replaced by Roscoe Sundae.",11,7
"Rogue Umpire incinerated Combs Estes! They're replaced by Dervin Gorczyca.",12,7
"Rogue Umpire incinerated Crabs hitter Combs Duende! Replaced by Finn James",3,7
"Rogue Umpire incinerated Crabs hitter Tillman Henderson! Replaced by Silvaire Roadhouse",8,7
"Rogue Umpire incinerated Dalé hitter Theodore Passon! Replaced by Sixpack Santiago",2,7
"Rogue Umpire incinerated Firefighters hitter José Haley! Replaced by Goobie Ballson",7,7
"Rogue Umpire incinerated Flowers hitter Bryanayah Chang! Replaced by Hotbox Sato",2,7
"Rogue Umpire incinerated Flowers hitter Caligula Lotus! Replaced by Hiroto Cerna",5,7
"Rogue Umpire incinerated Flowers hitter Isaac Rubberman! Replaced by Vito Kravitz",2,7
"Rogue Umpire incinerated Flowers hitter Jorge Ito! Replaced by Caligula Lotus",2,7
"Rogue Umpire incinerated Flowers hitter Matheo Carpenter! Replaced by Gloria Bugsnax",3,7
"Rogue Umpire incinerated Flowers hitter Morrow Doyle! Replaced by Inez Owens",3,7
"Rogue Umpire incinerated Fridays hitter Hendricks Rangel! Replaced by Basilio Fig",2,7
"Rogue Umpire incinerated Fridays hitter Sebastian Sunshine! Replaced by Juice Collins",2,7
"Rogue Umpire incinerated Fridays hitter Thomas England! Replaced by Sixpack Dogwalker",3,7
"Rogue Umpire incinerated Fridays pitcher Sam Solis! Replaced by Evelton McBlase",2,7
"Rogue Umpire incinerated Garages hitter Bennett Browning! Replaced by Tiana Cash",2,7
"Rogue Umpire incinerated Garages hitter Tiana Cash! Replaced by Greer Gwiffin",2,7
"Rogue Umpire incinerated Gerund Pantheocide! They're replaced by Steals Mondegreen.",20,7
"Rogue Umpire incinerated Goobie Ballson! The Heat Magnet catches. The Thermal Converter hums. 5 Runs generated for the Tacos! They're replaced by Pannonica Oko. LA Taquería inflates 5 Balloons!",21,7
"Rogue Umpire incinerated Hands Scoresburg! They're replaced by Jasper Blather.",12,7
"Rogue Umpire incinerated Hercules Alighieri! They're replaced by Jon Tumblehome.",16,7
"Rogue Umpire incinerated Hewitt Best! They're replaced by Trinity Roche.",17,7
"Rogue Umpire incinerated Hiroto Cerna! They're replaced by Allan Kranch.",16,7
"Rogue Umpire incinerated Hotbox Sato! They're replaced by Alx Keming.",12,7
"Rogue Umpire incinerated Igneus Delacruz! They're replaced by Millipede Aqualuft. An Ambush. Thomas Kirby enters the Tigers' shadows.",18,7
"Rogue Umpire incinerated Jazz Hands hitter Randall Marijuana! Replaced by Steph Weeks",5,7
"Rogue Umpire incinerated Jazz Hands pitcher Ogden Mendoza! Replaced by August Sky",2,7
"Rogue Umpire incinerated Joshua Butt! They're replaced by Gita Sparrow.",11,7
"Rogue Umpire incinerated Lawrence Horne! They're replaced by Tai Beanbag.",12,7
"Rogue Umpire incinerated Logan Horseman! They're replaced by Bobbin Moss.",18,7
"Rogue Umpire incinerated Lovers hitter Miguel Javier! Replaced by Kennedy Meh",2,7
"Rogue Umpire incinerated Lovers pitcher Paul Barnes! Replaced by Sandford Garner",2,7
"Rogue Umpire incinerated Magic hitter Annie Roland! Replaced by Bonk Jokes",9,7
"Rogue Umpire incinerated Magic hitter Richardson Turquoise! Replaced by Annie Roland",4,7
"Rogue Umpire incinerated Millennials hitter Chorby Soul! Replaced by Sandie Turner",2,7
"Rogue Umpire incinerated Millennials hitter Wesley Dudley! Replaced by Nandy Fantastic",6,7
"Rogue Umpire incinerated Moist Talkers hitter Kennedy Alstott! Replaced by Lachlan Shelton",2,7
"Rogue Umpire incinerated Moist Talkers hitter Kiki Familia! Replaced by Quack Enjoyable",6,7
"Rogue Umpire incinerated Moist Talkers hitter Tyler Violet! Replaced by Ziwa Mueller",2,7
"Rogue Umpire incinerated Moses Mason! They're replaced by Salih Ultrabass.",15,7
"Rogue Umpire incinerated Nicholas Vincent! They're replaced by Rat Batson.",14,7
"Rogue Umpire incinerated Niq Nyong'o! They're replaced by Clove Ji-Eun.",19,7
"Rogue Umpire incinerated Norris Firestar! They're replaced by Yrjö Kerfuffle.",12,7
"Rogue Umpire incinerated Pies hitter Forrest Bookbaby! Replaced by Alston Cerveza",5,7
"Rogue Umpire incinerated Pies hitter Hobbs Cain! Replaced by Rai Spliff",7,7
"Rogue Umpire incinerated Pies hitter Juan Rangel! Replaced by Eduardo Woodman",2,7
"Rogue Umpire incinerated Pies hitter Mickey Woods! Replaced by Jaxon Buckley",5,7
"Rogue Umpire incinerated Pies hitter Yeong-Ho Benitez! Replaced by Yusef Puddles",9,7
"Rogue Umpire incinerated Pudge Nakamoto! They're replaced by Donna Milicic.",16,7
"Rogue Umpire incinerated Pudge Nakamoto! They're replaced by Scoobert Toast.",22,7
"Rogue Umpire incinerated Raúl Leal! They're replaced by Riley Firewall.",12,7
"Rogue Umpire incinerated Ruffian Applesauce! They're replaced by Adelaide Judochop.",12,7
"Rogue Umpire incinerated Sebastian Woodman! They're replaced by Bennett Bluesky.",13,7
"Rogue Umpire incinerated Shoe Thieves hitter Atlas Jonbois! Replaced by Sebastian Woodman",2,7
"Rogue Umpire incinerated Shoe Thieves hitter Blankenship Fischer! Replaced by Blood Hamburger",2,7
"Rogue Umpire incinerated Shoe Thieves hitter Sebastian Townsend! Replaced by Atlas Jonbois",2,7
"Rogue Umpire incinerated Shoe Thieves pitcher Matteo Prestige! Replaced by Gunther O'Brian",2,7
"Rogue Umpire incinerated Son Scotch! They're replaced by Jomgy Rolsenthal.",13,7
"Rogue Umpire incinerated Sparks Beans! They're replaced by Lenjamin Zhuge.",18,7
"Rogue Umpire incinerated Spies hitter Miki Santana! Replaced by Fitzgerald Blackburn",2,7
"Rogue Umpire incinerated Steaks hitter Langley Wheeler! Replaced by Kline Greenlemon",2,7
"Rogue Umpire incinerated Steaks hitter Stevenson Monstera! Replaced by Combs Estes",3,7
"Rogue Umpire incinerated Stijn Strongbody! They're replaced by Rylan O'Lantern.",16,7
"Rogue Umpire incinerated Sunbeams hitter Emmett Internet! Replaced by Sutton Bishop",4,7
"Rogue Umpire incinerated Sunbeams hitter Rhys Trombone! Replaced by Dudley Mueller",2,7
"Rogue Umpire incinerated Sunbeams hitter Velasquez Meadows! Replaced by Alexander Horne",2,7
"Rogue Umpire incinerated Sutton Bishop! They're replaced by Kaj Statter Jr..",12,7
"Rogue Umpire incinerated Sutton Picklestein! They're replaced by Kurt Crueller.",12,7
"Rogue Umpire incinerated Tacos pitcher Natha Kath! Replaced by Emmett Owens",2,7
"Rogue Umpire incinerated Tamara Crankit! They're replaced by Zippy DeShields.",17,7
"Rogue Umpire incinerated Theodore Holloway! They're replaced by Norris Firestar.",12,7
"Rogue Umpire incinerated Tigers hitter Landry Violence! Replaced by Paula Turnip",2,7
"Rogue Umpire incinerated Tot Clark! They're replaced by Marion Shriffle.",23,26
"Rogue Umpire incinerated Wichita Toaster! They're replaced by Nickname Yamashita. An Ambush. Tyler Violet enters the Tigers' shadows.",18,7
"Rogue Umpire incinerated Winnie Mccall! They're replaced by Anathema Elemefayo.",15,7
"Rogue Umpire incinerated Yong Wright! The Heat Magnet catches. The Thermal Converter hums. 5 Runs generated for the Wild Wings! They're replaced by Kevelyn Jeff. An Ambush. Archie Lampman enters the Tigers' shadows.",21,7
"Rogue Umpire incinerated York Silk! They're replaced by Lucien Patchwork.",13,7
