season,weather,name,unstable
1,7,Hendricks Rangel,False
1,7,Randy Dennis,False
1,7,Paula Mason,False
1,7,Holden Stanton,False
1,7,Felix Garbage,False
1,7,Marco Stink,False
1,7,Halexandry Walton,False
1,7,Cory Twelve,False
1,7,Collins Melon,False
1,7,Thomas Kirby,False
1,7,Simon Haley,False
1,7,York Silk,False
1,7,Nic Winkler,False
1,7,Hendricks Richardson,False
1,7,Murray Pony,False
1,7,Peanut Holloway,False
2,7,Sixpack Santiago,False
2,7,Sanford Garner,False
2,7,Hotbox Sato,False
2,7,Cedric Spliff,False
2,7,Henry Marshallow,False
2,7,Vito Kravitz,False
2,7,Caligula Lotus,False
2,7,Basilio Fig,False
2,7,Juice Collins,False
2,7,Evelton McBlase,False
2,7,Tiana Cash,False
2,7,Greer Gwiffin,False
2,7,August Sky,False
2,7,Kennedy Meh,False
2,7,Sandford Garner,False
2,7,Sandie Turner,False
2,7,Lachlan Shelton,False
2,7,Ziwa Mueller,False
2,7,Eduardo Woodman,False
2,7,Sebastian Woodman,False
2,7,Blood Hamburger,False
2,7,Atlas Jonbois,False
2,7,Gunther O'Brian,False
2,7,Fitzgerald Blackburn,False
2,7,Kline Greenlemon,False
2,7,Dudley Mueller,False
2,7,Alexander Horne,False
2,7,Emmett Owens,False
2,7,Paula Turnip,False
3,7,Lenny Spruce,False
3,7,Stew Briggs,False
3,7,Finn James,False
3,7,Gloria Bugsnax,False
3,7,Inez Owens,False
3,7,Sixpack Dogwalker,False
3,7,Combs Estes,False
4,7,Annie Roland,False
4,7,Sutton Bishop,False
5,7,Hiroto Cerna,False
5,7,Steph Weeks,False
5,7,Alston Cerveza,False
5,7,Jaxon Buckley,False
6,7,Pudge Nakatamo,True
6,7,Cannonball Sports,True
6,7,Charlatan Seabright,True
6,7,Beans McBlase,True
6,7,Kiki Familia,True
6,7,Commissioner Vapor,True
6,7,Gallup Crueller,True
6,7,Usurper Violet,True
6,7,Frasier Shmurmgle,True
6,7,Carmelo Plums,True
6,7,Mummy Melcon,True
6,7,Case Sports,True
6,7,Nandy Fantastic,False
6,7,Quack Enjoyable,False
7,7,Goobie Ballson,False
7,7,Rai Spliff,False
8,7,Silvaire Roadhouse,False
9,7,Bonk Jokes,False
9,7,Yusef Puddles,False
11,7,Roscoe Sundae,False
11,7,Gita Sparrow,False
12,7,Loubert Ji-Eun,False
12,7,Dervin Gorczyca,False
12,7,Jasper Blather,False
12,7,Alx Keming,False
12,7,Tai Beanbag,False
12,7,Yrjö Kerfuffle,False
12,7,Riley Firewall,False
12,7,Adelaide Judochop,False
12,7,Kaj Statter Jr,False
12,7,Kurt Crueller,False
12,7,Norris Firestar,False
13,7,Bennett Bluesky,False
13,7,Jomgy Rolsenthal,False
13,7,Lucien Patchwork,False
14,7,Rat Batson,False
15,7,Mikan Hammer,True
15,7,Salih Ultrabass,False
15,7,Anathema Elemefayo,False
16,7,Trinity Smaht,True
16,7,Jon Halifax,True
16,7,Frankie Incarnate,False
16,7,Jon Tumblehome,False
16,7,Allan Kranch,False
16,7,Donna Milicic,False
16,7,Rylan O'Lantern,False
17,7,Zeruel Kramer,True
17,7,Scarlet Caster,False
17,7,Lancelot Kane,False
17,7,Trinity Roche,False
17,7,Zippy DeShields,False
18,7,Geepa Beanpot,False
18,7,Millipede Aqualuft,False
18,7,Bobbin Moss,False
18,7,Lenjamin Zhuge,False
18,7,Nickname Yamashita,False
19,7,Vernon Shotwell,False
19,7,Clove Ji-Eun,False
20,7,Steals Mondegreen,False
21,7,Backpatch Rolsenthal,False
21,7,Pannonica Oko,False
21,7,Kevelyn Jeff,False
22,7,Orion Ultrabass,True
22,7,Yulia Skitter,True
22,7,Ryuji Ngozi,True
22,7,Khulan Sagaba,True
22,7,Scoobert Toast,False
23,26,Scouse Bedazzle,True
23,26,Clarinet McCormick,True
23,26,Will Statter Jr,True
23,26,Ruffian Scrobbles,False
23,26,Marion Shriffle,False