,Team,Day,X,Y,corrected_speed,speed
826,Queens,74,-1.0,0.7213763163718241,0.07542093405621336,0.060885299728632214
827,Queens,75,-1.0,0.7819928209113299,0.07515213886708699,0.060616504539505844
828,Queens,76,-1.0,0.832027162303768,0.06458997572001927,0.05003434139243812
829,Queens,77,-1.0,0.8921468976987272,0.07469536972254033,0.060119735394959184
830,Queens,78,-1.0,0.9519530024498032,0.0744017390786571,0.05980610475107595
831,Queens,79,-1.0,1.0,0.06266263187777796,0.04804699755019681
862,Shoe Thieves,58,0.7311009987077846,-0.7066657666077031,,
863,Shoe Thieves,59,0.6529606622495534,-0.644256645530483,,0.10000405279505768
864,Shoe Thieves,60,0.5886146917607803,-0.5677175783246285,,0.09999316340072638
865,Shoe Thieves,61,0.5173761308465363,-0.4975112244794346,,0.10001932154023556
866,Shoe Thieves,62,0.4461929304573897,-0.4272353095244088,,0.10002875706719251
867,Shoe Thieves,63,0.4966484246798285,-0.3417821145806974,,0.09923711716549659
868,Shoe Thieves,64,0.4195859116706307,-0.2773432688902533,,0.10045394838038796
869,Shoe Thieves,65,0.3894541551696025,-0.183928454910814,,0.09815421651997687
870,Shoe Thieves,66,0.3147380278712763,-0.1170512815535417,,0.10027490211772006
871,Shoe Thieves,67,0.2392706374721856,-0.0509759695635763,,0.10030590146257613
872,Shoe Thieves,68,0.1396243227622357,-0.0268751398442803,,0.1025194519514852
873,Shoe Thieves,69,0.0641984795768322,0.039157159288067,,0.10024630840551123
874,Shoe Thieves,70,0.1029602991761707,-0.0550531273104242,,0.1018727478750893
875,Shoe Thieves,71,0.1650177816536308,-0.1340364677338983,,0.10044649917190078
876,Shoe Thieves,72,0.2364939414987792,-0.2035583151995999,,0.09971022365461571
877,Shoe Thieves,73,0.3041804583335755,-0.2771690530520047,,0.10000002644200959
878,Shoe Thieves,74,0.3780743864158903,-0.343908384371962,,0.0995713359982146
879,Shoe Thieves,75,0.445505421522197,-0.4176808828786339,,0.09994661590781792
880,Shoe Thieves,76,0.5070132661614468,-0.4968721784058159,,0.10027201124660638
881,Shoe Thieves,77,0.5836026989543335,-0.5598349167358339,,0.0991476052839927
882,Shoe Thieves,78,0.5676925330119297,-0.46402494855414,,0.09712200257043722
883,Shoe Thieves,79,0.6377681582971797,-0.5348387995112531,,0.09962527162570249
914,Spies,58,0.910680039672794,-0.944514379950362,,
915,Spies,59,0.8484109550063019,-0.8699318381657687,,0.0971596338211161
916,Spies,60,0.7592138673567015,-0.8147664853459062,,0.10487772211919179
917,Spies,61,0.6699841145889563,-0.7598394987916536,,0.10478035422217266
918,Spies,62,0.5810198025367256,-0.70489125875576,,0.10456556747786946
919,Spies,63,0.502204514479092,-0.6414002048338303,,0.10120752718906406
920,Spies,64,0.4133877276956426,-0.5867762355007864,,0.10426984051121414
921,Spies,65,0.3246002836750706,-0.5323545161675479,,0.10413901166657952
922,Spies,66,0.3775335952931469,-0.6192890694588375,,0.10178188461024117
923,Spies,67,0.3060784202147087,-0.5513525564731525,,0.09859620602307376
924,Spies,68,0.2746494473357317,-0.4696616018524651,,0.08752823774683623
925,Spies,69,0.1880065090048522,-0.4136377340527081,,0.10317786839169163
926,Spies,70,0.2421420035120811,-0.4996565413206609,,0.10163605152377488
927,Spies,71,0.1986176197187256,-0.4209473391587229,,0.08994170606320591
928,Spies,72,0.1444566296441243,-0.3456601533688348,,0.09274466663923152
929,Spies,73,0.1123755715239798,-0.2651109044876441,,0.08670280148548892
930,Spies,74,0.0397825073953759,-0.1991531566597437,,0.09808250332301115
931,Spies,75,0.0421241953017495,-0.1205708978341773,,0.0786171412885203
932,Spies,76,0.1160280096530155,-0.1753586586207831,,0.0919971331492277
933,Spies,77,0.0256091684620464,-0.1237805041007426,,0.10409549877881782
934,Spies,78,-0.0164145055094615,-0.0459041101359649,,0.0884913663077978
935,Spies,79,0.0350261684211936,0.0044001129968026,,0.07194899442960437
966,Steaks,58,1.0,1.0,,
967,Steaks,59,1.0,1.0,0.0291460896282328,0.0
968,Steaks,60,1.0,1.0,0.02961886690223472,0.0
969,Steaks,61,1.0,1.0,0.02971886690223472,0.0
970,Steaks,62,1.0,1.0,0.02997886690223472,0.0
971,Steaks,63,0.9784976840052306,0.9784976840052306,0.00037000000000005323,0.030408866902234773
972,Steaks,64,1.0,1.0,0.0605237338044695,0.030408866902234773
973,Steaks,65,0.9780256901479938,0.9780256901479938,0.0006675001142611848,0.031076367016495906
974,Steaks,66,1.0,1.0,0.06174523391873063,0.031076367016495906
975,Steaks,67,0.977587283943658,0.977587283943658,0.0006200000000001211,0.031696367016496065
976,Steaks,68,0.954933408214632,0.954933408214632,0.0006010512798073045,0.03203741829630325
977,Steaks,69,0.9972278225822164,1.0,0.09349047927193047,0.061804653399610034
978,Steaks,70,1.0,1.0,0.0340528284649837,0.0027721774177835723
979,Steaks,71,1.0,1.0,0.032294029495214975,0.0
980,Steaks,72,1.0,1.0,0.03241816932053923,0.0
981,Steaks,73,1.0,1.0,0.032678169320539234,0.0
982,Steaks,74,0.9060655623959756,0.9060779856565248,0.10008640212669301,0.13283457135219104
983,Steaks,75,0.8121204571720342,0.812132773418325,0.10012234827641257,0.13285851759679473
984,Steaks,76,0.7181189833906335,0.7181311578987756,0.10010368788134678,0.13293825932875966
985,Steaks,77,0.7654642510495502,0.765475067885671,0.0998138772184848,0.06695535962521384
986,Steaks,78,0.6713749253389888,0.6713856476367978,0.10012420801449678,0.13306246734311367
987,Steaks,79,0.5772708237911279,0.5772814507251914,0.10003872373920418,0.133083364116288
1018,Sunbeams,58,0.4656264201540839,-0.5068573710317522,,
1019,Sunbeams,59,0.4061563384974317,-0.4279382267894336,,0.0988176195836996
1020,Sunbeams,60,0.3287744998796695,-0.3633579589745669,,0.10078968170852264
1021,Sunbeams,61,0.2523407687716893,-0.2979284056949684,,0.1006138245642955
1022,Sunbeams,62,0.1814927115296687,-0.2275951446797214,,0.09983093117870583
1023,Sunbeams,63,0.1297450375371578,-0.1450401317011227,,0.09743280726496484
1024,Sunbeams,64,0.0540004704253524,-0.0792349509211994,,0.10033723767591561
1025,Sunbeams,65,-0.0104107411405088,-0.0043330383195589,,0.0987881606609108
1026,Sunbeams,66,0.0343134301974422,0.07358474216722,,0.08984114880082657
1027,Sunbeams,67,0.0858046394197479,-0.014736581119087,,0.10223502713952598
1028,Sunbeams,68,0.0447073855034826,0.071887737754539,,0.09587886576184358
1029,Sunbeams,69,0.0979977699216936,-0.0151122998547538,,0.10202387767311663
1030,Sunbeams,70,0.1586158934853089,-0.0957677787880595,,0.10089530804915882
1031,Sunbeams,71,0.2194689218076516,-0.1760963109234839,,0.10077581123976007
1032,Sunbeams,72,0.3037465703870504,-0.2215999414720515,,0.09577735871892257
1033,Sunbeams,73,0.3565331908549266,-0.3087596773974151,,0.10189821817381658
1034,Sunbeams,74,0.277313579850418,-0.3888006476418694,,0.11261573462611374
1035,Sunbeams,75,0.3198688068553673,-0.4830264154345254,,0.10338976091256956
1036,Sunbeams,76,0.3817395586210361,-0.5618366973412114,,0.1001950620452941
1037,Sunbeams,77,0.4349519440605007,-0.6483846173469143,,0.1015977382694698
1038,Sunbeams,78,0.497322668844718,-0.7263604346654929,,0.09985156682100146
1039,Sunbeams,79,0.5603150710002616,-0.8034785666371107,,0.09957534337433935
1070,Tacos,58,0.9142937277359594,-0.9414597485937936,,
1071,Tacos,59,0.8282330581818605,-0.8834734619785605,,0.10377306143466983
1072,Tacos,60,0.7408765556852284,-0.8270058782201695,,0.10401801067101316
1073,Tacos,61,0.6592637659226378,-0.7652166907890683,,0.10236479441794703
1074,Tacos,62,0.5963344620806181,-0.6905643459442985,,0.09763744093770411
1075,Tacos,63,0.5119593083437577,-0.6316911370762316,,0.10288450461824593
1076,Tacos,64,0.4264133244787024,-0.5741298554456621,,0.10310876053175132
1077,Tacos,65,0.3405375963188334,-0.5170838039438663,,0.10309652117764814
1078,Tacos,66,0.2925950041663357,-0.4368929926778927,,0.09342942980557964
1079,Tacos,67,0.2094238453254231,-0.377673493857233,,0.10209990550196624
1080,Tacos,68,0.1257454318605083,-0.3191293713479582,,0.10212488022213885
1081,Tacos,69,0.0404906444738027,-0.2622931013883401,,0.10246336103834854
1082,Tacos,70,-0.0407157384199795,-0.2019419306434243,,0.1011767781310195
1083,Tacos,71,0.0150530986637428,-0.1469077298601341,,0.0783513014922296
1084,Tacos,72,-0.0551611930741644,-0.0784968201245218,,0.09803111411745781
1085,Tacos,73,-0.0022201422885038,-0.0212347205772184,,0.07798527362813559
1086,Tacos,74,8.70579255786e-05,0.0615384839620288,,0.08280535346536427
1087,Tacos,75,0.0559158011893307,-0.0241434037180205,,0.10226550958571776
1088,Tacos,76,0.1213998447698102,0.0183413065568169,,0.07805837924775924
1089,Tacos,77,0.1761185243279404,-0.068199854315481,,0.10238899558893173
1090,Tacos,78,0.2308193314074803,-0.1545394494329905,,0.1022091188701307
1091,Tacos,79,0.2850354139294013,-0.2411400145073723,,0.10217162754515553
1122,Tigers,58,1.0,1.0,,
1123,Tigers,59,1.0,1.0,0.026408875553154264,0.0
1124,Tigers,60,1.0,1.0,0.026628875553154265,0.0
1125,Tigers,61,1.0,1.0,0.026902713239846533,0.0
1126,Tigers,62,1.0,1.0,0.027237834545150122,0.0
1127,Tigers,63,1.0,1.0,0.027311218471134924,0.0
1128,Tigers,64,1.0,1.0,0.027591218471134923,0.0
1129,Tigers,65,1.0,1.0,0.02793121847113492,0.0
1130,Tigers,66,1.0,1.0,0.028231218471134925,0.0
1131,Tigers,67,1.0,1.0,0.028671218471134925,0.0
1132,Tigers,68,1.0,1.0,0.028691218471134927,0.0
1133,Tigers,69,1.0,0.9744148305491042,0.02100852137847677,0.02558516945089584
1134,Tigers,70,1.0,1.0,0.05041792477839803,0.02558516945089584
1135,Tigers,71,1.0,1.0,0.029438187252231775,0.0
1136,Tigers,72,1.0,1.0,0.029714427353814313,0.0
1137,Tigers,73,0.9057178687482542,0.9057178687482542,0.10332064135184481,0.13333506870565912
1138,Tigers,74,0.8113211736425925,0.8113200757301668,0.10340343545204611,0.13349786280520348
1139,Tigers,75,0.7139135162041712,0.7194808760443077,0.10055978423829313,0.13387565247863387
1140,Tigers,76,0.6190760360744405,0.6245940975022688,0.10065749297624911,0.13415531439135384
1141,Tigers,77,0.525512665051286,0.52853977689217,0.10019920459244305,0.13409152435961086
1142,Tigers,78,0.4306358956814483,0.4336357146053692,0.10004001644877457,0.13419531439135404
1143,Tigers,79,0.3435346074310701,0.3312467345681681,0.10047392061275187,0.13442521209927039
1174,Wild Wings,58,-0.9909370334587144,-1.0,,
1175,Wild Wings,59,-1.0,-1.0,0.015667239712978197,0.009062966541285578
1176,Wild Wings,60,-1.0,-1.0,,0.0
1177,Wild Wings,61,-1.0,-1.0,,0.0
1178,Wild Wings,62,-1.0,-1.0,,0.0
1179,Wild Wings,63,-1.0,-1.0,,0.0
1180,Wild Wings,64,-1.0,-1.0,,0.0
1181,Wild Wings,65,-1.0,-1.0,,0.0
1182,Wild Wings,66,-1.0,-1.0,,0.0
1183,Wild Wings,67,-0.941524567866097,-1.0,,0.05847543213390305
1184,Wild Wings,68,-1.0,-1.0,0.03169244834875897,0.05847543213390305
1185,Wild Wings,69,-1.0,-1.0,,0.0
1186,Wild Wings,70,-1.0,-1.0,,0.0
1187,Wild Wings,71,-1.0,-1.0,,0.0
1188,Wild Wings,72,-0.948988312679636,-0.948988312679636,,0.0721414200479944
1189,Wild Wings,73,-1.0,-1.0,0.0445217542849295,0.0721414200479944
1190,Wild Wings,74,-1.0,-1.0,,0.0
1191,Wild Wings,75,-1.0,-1.0,,0.0
1192,Wild Wings,76,-1.0,-1.0,,0.0
1193,Wild Wings,77,-1.0,-1.0,,0.0
1194,Wild Wings,78,-1.0,-1.0,,0.0
1195,Wild Wings,79,-1.0,-1.0,,0.0
1226,Worms,58,-1.0,-1.0,,
1227,Worms,59,-1.0,-1.0,,0.0
1228,Worms,60,-1.0,-1.0,,0.0
1229,Worms,61,-1.0,-1.0,,0.0
1230,Worms,62,-1.0,-1.0,,0.0
1231,Worms,63,-1.0,-1.0,,0.0
1232,Worms,64,-1.0,-1.0,,0.0
1233,Worms,65,-1.0,-1.0,,0.0
1234,Worms,66,-1.0,-1.0,,0.0
1235,Worms,67,-1.0,-1.0,,0.0
1236,Worms,68,-0.9562051010438888,-0.9562051010438888,,0.06193534006649178
1237,Worms,69,-1.0,-1.0,0.024016399114577352,0.06193534006649178
1238,Worms,70,-1.0,-1.0,,0.0
1239,Worms,71,-0.9569054848898167,-0.9570454903713312,,0.06084592944496131
1240,Worms,72,-1.0,-1.0,0.0220484263709053,0.06084592944496131
1241,Worms,73,-1.0,-1.0,,0.0
1242,Worms,74,-1.0,-1.0,,0.0
1243,Worms,75,-0.9579647775323676,-0.9579647775323676,,0.05944678171109592
1244,Worms,76,-1.0,-1.0,0.019417984126180454,0.05944678171109592
1245,Worms,77,-0.9584314680079508,-0.9584314680079508,,0.05878678171109593
1246,Worms,78,-1.0,-1.0,0.017893563422191783,0.05878678171109593
1247,Worms,79,-1.0,-1.0,,0.0
1248,Artists,73,0.9301803866205348,0.9720771197390066,,
1249,Artists,74,0.9932216480258016,0.8943641262222556,0.10006752720489179,0.10006752720489179
1250,Artists,75,0.921723528826073,0.8235089602080446,0.10065999999999994,0.10065999999999994
1251,Artists,76,0.92125473527678,0.8230443823263699,1.4322583884407469e-05,0.000660000000000076
1252,Artists,77,0.9207859417274872,0.8225798044446951,1.43261525783291e-05,0.0006599999999999971
1253,Artists,78,0.9203171481781944,0.8221152265630204,1.4329723050770346e-05,0.0006599999999999182
1254,Artists,79,0.9198483546289016,0.8216506486813456,1.4333295302906134e-05,0.0006599999999999971
1255,Boar,73,0.915408263508784,0.918625664975816,,
1256,Boar,74,0.8360595622576888,0.8392535750779884,0.11223254895521344,0.11223254895521344
1257,Boar,75,0.8274111186321773,0.8306025822564654,0.012232548955213397,0.012232548955213397
1258,Boar,76,0.8187626750066658,0.8219515894349425,8.869829527503488e-06,0.012232548955213397
1259,Boar,77,0.8101142313811542,0.8133005966134196,8.911975920670025e-06,0.012232548955213397
1260,Boar,78,0.8014657877556427,0.8046496037918967,8.954524756485055e-06,0.012232548955213397
1261,Boar,79,0.7928173441301312,0.7959986109703737,8.997481826801583e-06,0.012232548955213397
1262,Cows,73,0.9132429728907066,0.909071933546909,,
1263,Cows,74,0.9048490778722016,0.9006812466734493,0.011868491891985723,0.011868491891985723
1264,Cows,75,0.8964551828536969,0.8922905597999895,0.011868491891985645,0.011868491891985645
1265,Cows,76,0.888061287835192,0.8838998729265297,1.0777445204883076e-05,0.011868491891985723
1266,Cows,77,0.8796673928166872,0.8755091860530699,1.0825402954116657e-05,0.011868491891985723
1267,Cows,78,0.8712734977981823,0.8671184991796101,1.0873789418142235e-05,0.011868491891985723
1268,Cows,79,0.8628796027796775,0.8587278123061504,1.0922610371463831e-05,0.011868491891985723
1269,Crabs Old,73,0.9409963683144168,0.98888403641735,,
1270,Crabs Old,74,0.8618520954090376,0.9093933567912706,,0.11217211810934626
1271,Crabs Old,75,0.8532639234664918,0.9007675952623884,,0.012172118109346312
1272,Crabs Old,76,0.844675751523946,0.8921418337335059,,0.01217211810934647
1273,Crabs Old,77,0.8360875795814002,0.8835160722046235,,0.01217211810934639
1274,Crabs Old,78,0.8274994076388544,0.8748903106757411,,0.01217211810934639
1275,Crabs Old,79,0.8189112356963086,0.8662645491468587,,0.01217211810934639
1276,Excavators,73,0.944951078744628,0.96920723487244,,
1277,Excavators,74,0.9370391085446416,0.961277730196231,0.01120162117086158,0.01120162117086158
1278,Excavators,75,0.9291271383446552,0.953348225520022,0.011201621170861502,0.011201621170861502
1279,Excavators,76,0.8441821650707789,1.0,0.09446644252771877,0.0969125200716104
1280,Excavators,77,0.7593676587940845,1.0,0.07765891439677652,0.0848145062766944
1281,Excavators,78,0.7515349892936778,0.9919921535134036,0.0005920844012854088,0.01120162117086163
1282,Excavators,79,0.7437023197932711,0.9839843070268072,0.0005945830221050186,0.01120162117086171
1283,Fireballs,73,0.9392333456924482,0.9093155460388288,,
1284,Fireballs,74,0.8526738468013295,0.9630927212890966,0.10190452112727676,0.10190452112727676
1285,Fireballs,75,0.7622347615608004,1.0,0.09767996396901461,0.09767996396901461
1286,Fireballs,76,0.7547504681805577,0.9923503594739712,0.0005584581606587602,0.01070194597159819
1287,Fireballs,77,0.6725696128627283,0.9182144524359458,0.10005486290332619,0.11067893066487745
1288,Fireballs,78,0.7630952963387374,0.8906938249881043,0.09947978156141973,0.09461651179324605
1289,Fireballs,79,0.6792412174348439,0.947684732147942,0.10030990415407409,0.10138772138539083
1290,Heartthrobs,73,0.9973960702116031,0.9117442065572338,,
1291,Heartthrobs,74,1.0,0.826771023653227,0.0850130711313307,0.0850130711313307
1292,Heartthrobs,75,0.920800058064984,0.7488183294334951,0.11112719441534066,0.11112719441534066
1293,Heartthrobs,76,0.9128697476109936,0.7410129062124189,0.0004327731913831142,0.011127194415340538
1294,Heartthrobs,77,0.904939437157003,0.7332074829913426,0.0004346342581966949,0.011127194415340696
1295,Heartthrobs,78,0.825739495221987,0.6552547887716109,0.1000095142636485,0.11112719441534058
1296,Heartthrobs,79,0.8178091847679965,0.6474493655505347,0.0004561873846806974,0.011127194415340618
1297,Hedgehogs,73,0.914160538908463,0.9070875343256936,,
1298,Hedgehogs,74,0.8342238066260759,0.8272026056494335,,0.113010986180978
1299,Hedgehogs,75,0.8250206684691084,0.8180054316560064,0.013010986180978106,0.013010986180978106
1300,Hedgehogs,76,0.8158175303121409,0.8088082576625792,2.083742751463558e-05,0.013010986180978106
1301,Hedgehogs,77,0.8066143921551734,0.7996110836691521,2.0943207876492217e-05,0.013010986180978106
1302,Hedgehogs,78,0.7974112539982059,0.790413909675725,2.1050067696616542e-05,0.013010986180978106
1303,Hedgehogs,79,0.7882081158412384,0.7812167356822979,2.1158023583078534e-05,0.013010986180978106
1304,Immortals,73,0.9347553254891344,0.9725859658531948,,
1305,Immortals,74,0.8268138443715488,0.9526143468359214,0.10977353466127074,0.10977353466127074
1306,Immortals,75,0.7479596229490346,0.8728438908850426,0.11216645612107926,0.11216645612107926
1307,Immortals,76,0.6691054015265203,0.7930734349341637,0.10000562018236817,0.11216645612107932
1308,Immortals,77,0.6091548378626325,0.6986403362158056,0.09991923399886068,0.11185562219740698
1309,Immortals,78,0.5301749630293155,0.6189942864074466,0.10000356136706538,0.1121664561210793
1310,Immortals,79,0.4511950881959986,0.5393482365990876,0.10000392897622778,0.11216645612107934
1311,Lobsters,73,0.9942054022831738,0.9895533914453376,,
1312,Lobsters,74,0.9149824838202992,0.9103639948116272,0.11201442473622034,0.11201442473622034
1313,Lobsters,75,0.8357595653574245,0.8311745981779171,0.11201442473622034,0.11201442473622034
1314,Lobsters,76,0.8272622866051804,0.8226809149045095,1.24798926739474e-05,0.0120144247362203
1315,Lobsters,77,0.8187650078529364,0.8141872316311018,1.2537988143158288e-05,0.0120144247362203
1316,Lobsters,78,0.8102677291006923,0.8056935483576942,1.2596627025226316e-05,0.0120144247362203
1317,Lobsters,79,0.7310448106378177,0.726504151723984,0.10000000746657327,0.11201442473622034
1318,Psychics,73,0.9541133704172104,0.9098407745016864,,
1319,Psychics,74,1.0,0.8244219422027604,0.09696370292939611,0.09696370292939611
1320,Psychics,75,0.9201993347904616,0.7458950266121691,0.11195812895925286,0.11195812895925286
1321,Psychics,76,0.911675910413147,0.7375076500801228,0.0004718889167452068,0.011958128959252873
1322,Psychics,77,0.9731229891248644,0.8005634586497202,0.09998297828613643,0.08804418479700811
1323,Psychics,78,0.964600570273218,0.7921750604043324,0.0004516345418910601,0.011958128959252934
1324,Psychics,79,0.9560781514215716,0.7837866621589445,0.0004536647376931192,0.011958128959252934
1325,Saltines,73,0.9973808950650246,0.9947498451773402,,
1326,Saltines,74,0.9185382190934792,0.9159260317891444,0.11148704458999355,0.11148704458999355
1327,Saltines,75,0.8396955431219336,0.8371022184009485,0.11148704458999387,0.11148704458999387
1328,Saltines,76,0.8315720043034972,0.8289806230848876,6.727795020584427e-06,0.01148704458999374
1329,Saltines,77,0.8234484654850608,0.8208590277688268,6.757652232776069e-06,0.01148704458999374
1330,Saltines,78,0.8153249266666244,0.812737432452766,6.78777563227538e-06,0.01148704458999374
1331,Saltines,79,0.807201387848188,0.8046158371367051,6.818168794741864e-06,0.01148704458999374
1332,Squirrels,73,0.989406504364578,0.9421347783367487,,
1333,Squirrels,74,0.9106545821359904,0.8637216131912009,0.11113275719984848,0.11113275719984848
1334,Squirrels,75,0.8318964791544408,0.7853146560442446,0.11113275716141044,0.11113275716141044
1335,Squirrels,76,0.7531446018641939,0.7069014457662415,0.10000071118512255,0.1111327571998483
1336,Squirrels,77,0.6743927245739469,0.6284882354882384,0.10000077725243256,0.1111327571998483
1337,Squirrels,78,0.6665037317063628,0.6206331686899241,0.00013072651242037112,0.01113275719984824
1338,Squirrels,79,0.6586147388387786,0.6127781018916099,0.00013135255854414748,0.01113275719984824
1339,Truckers,73,0.9354476653582816,0.9648295509610992,,
1340,Truckers,74,0.8569082366151561,0.8860790987115515,0.11122084155770794,0.11122084155770794
1341,Truckers,75,0.848984555463164,0.8781341278327658,0.011220841557708118,0.011220841557708118
1342,Truckers,76,0.8410608743111718,0.87018915695398,7.270149981162971e-05,0.011220841557708118
1343,Truckers,77,0.8331371931591797,0.8622441860751943,7.30123460671674e-05,0.011220841557708118
1344,Truckers,78,0.8252135120071875,0.8542992151964085,7.332586183437388e-05,0.011220841557708118
1345,Truckers,79,0.8172898308551954,0.8463542443176227,7.36420816491741e-05,0.011220841557708118
1346,Whales,73,0.9861669265139542,0.9600970105969588,,
1347,Whales,74,0.9015575295831204,1.0,0.09354677232432236,0.09354677232432236
1348,Whales,75,0.8170933916431444,1.0,0.08446413793997598,0.08446413793997598
1349,Whales,76,0.8097738848803085,0.9925567274427533,0.00041229876019270253,0.010439228209626552
1350,Whales,77,0.7256297978548518,1.0,0.07860330764271255,0.08447265644993708
1351,Whales,78,0.6417379576567684,1.0,0.07747648827112621,0.08389184019808338
1352,Whales,79,0.5581247851552269,1.0,0.07741135277825449,0.08361317250154154
1353,Breath Mints,73,0.9597916851446512,0.9240839993843868,,
1354,Breath Mints,74,0.8932608627568701,0.8577771856406842,0.09352618051715465,0.09393052686127414
1355,Breath Mints,75,0.82673025282983,0.7914701587203873,0.09352618135123032,0.09393052686040326
1356,Breath Mints,76,0.7602075065861477,0.7251552425295034,0.09999980926026901,0.09393052686536638
1357,Breath Mints,77,0.6937007722364266,0.6589280671472831,0.09992654880812894,0.09385725583550655
1358,Breath Mints,78,0.6277482758969595,0.59223662338048,0.09986363370465567,0.09379488496239059
1359,Breath Mints,79,0.5613705294888656,0.5260813453089721,0.0998576252226668,0.09371513236898169
1360,Fridays,73,0.994954668899806,0.9220126577315232,,
1361,Fridays,74,0.9381167684634768,0.8652956694835354,0.09817519747697567,0.080295477344197
1362,Fridays,75,0.881223881060473,0.8086138465283892,0.0981893752841783,0.0803095865421396
1363,Fridays,76,0.8242289159864072,0.7520182219692095,0.1000236696756387,0.08032117257011127
1364,Fridays,77,0.7672435076378872,0.6954129751931801,0.10000936031112632,0.08032117234716366
1365,Fridays,78,0.7102580992893671,0.6388077284171507,0.0999976087608593,0.08032117234716366
1366,Fridays,79,0.6532726909408471,0.5822024816411213,0.09999744385017344,0.08032117234716366
